name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
 Robert Donat	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
George Chakiris	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-30	 	 	 	 	 	 	 	36	 	 	 	 	 	 
 Marcello Mastroianni	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67	 
Gale Sondergaard	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	 	 	-6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	51	 	 	 
 James Coburn	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	27
 Jose Ferrer	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-30	 	 	-2	 	 	 	-58	 	 	-29	 	4	 	 	 	 	 	 	-2
 Gig Young	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-48	 	-41	 	 	 	 	 	-21	 	 	 	 	 	 
 Terry Moore	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	45	 	 	 	-42	 	 	 	 	 	 	 	 	-10	 	53	 	-14	 	 	 	 
John Huston	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	27	 	 	 	 	 	 	 	 	-18	 	 	-18	 	 	 	 	 	 	-59	 	 	 	 	 	 	 	 	 	 	 	58	 
Eileen Heckart	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67	 	-48	 	-56	 
Carol Kane	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	-17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Juliette Binoche	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anne Bancroft	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-29	 	 	 	 	-35	 	 	 	 	 	 	3	 	 	 	 	 	 	-5
 Paul Scofield	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	 	 	 	 	 	 	-30	 	 	 	 	 	 	 
 Greer Garson	 	 	 	 	 	 	 	 	-14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Faye Dunaway	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	26	 	 	 	 	 	 	 	-11	 	 	 	 	 	 	 	 	 	 	 	 	 	-64	 	 	 	 	 	 	 
 Miriam Hopkins	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	-7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Hume Cronyn	 	 	 	 	-6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	 	-56	-56	9	9	 	40	 	 	 	 	 	 	 	 	 	 	-21	 
Greta Garbo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Hugh Griffith	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Gregory La Cava	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	23	 	 	 	 	 	 	 	 	 	 	 	 	 
Delbert Mann	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-54	 	-20	 	 	-16	-16
Ingrid Bergman	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-44	-44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Jack Palance	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-44	 	63	63	 	 	 	26	 	 	 	 
Gene Kelly	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-55	 	22	 	 	-57	 	40	 	 	 	 	-38	 	 	 	-21
Eileen Brennan	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-21	 	-11	 	 	 	 	 	 	 	 	 	 	 	 
 Barbara Bel Geddes	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-8	 	 	 	 	 	 	29	 	 	 	 	 	 	 	 	 	 
 Ronald Colman	 	 	 	 	-4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Rock Hudson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-11	-11	-11	-11	-11	-11	 	 	 	-14	 	-15
Terence Malick	 	 	 	 	 	 	 	 	 	 	-2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alec Baldwin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-38	 	 	 	 	 	 	 	 	 	 
